,名稱,註冊號碼,地址,統編,緯度,經度,日期
0,鴻輝食品廠,99611344,新北市新莊區新莊路四九三巷四弄一一號,35567635,121.44862,25.0327,中華民國59年08月23日 03:38:51
1,廣達香食品股份有限公司,99604192,新北市新莊區化成路三八二巷一八號,35549807,121.46722,25.0499,中華民國59年08月23日 03:38:51
2,順發糧食行,99613990,新北市板橋區縣民大道一段二八一號,33305209,121.4605,25.01011,中華民國59年08月23日 03:38:51
3,台灣塩野香料股份有限公司,99600477,新北市新莊區化成路二一九號,3561504,121.46569,25.04674,中華民國59年08月23日 03:38:51
4,圓金釀造食品股份有限公司,99606467,新北市新莊區新樹路二六八巷二二號,35427115,121.43106,25.01403,中華民國59年08月23日 03:38:51
5,永芳醬園股份有限公司,99605140,新北市永和區仁愛路一四一巷五二號,33938534,121.51255,25.01134,中華民國59年08月23日 03:38:51
6,強生化學製藥廠股份有限公司,99606303,新北市三重區三和路4段77號2、3樓、79號1至6樓,35348007,121.48972,25.07527,中華民國59年08月23日 03:38:51
7,大德製冰廠,99618950,新北市淡水區中正路二巷一號,37011107,121.44366,25.16967,中華民國59年08月23日 03:38:51
8,臺灣農林股份有限公司北區分公司,99615941,新北市三峽區竹崙路140號,33506395,121.43492,24.90929,中華民國59年08月23日 03:38:51
9,新成春碾米廠,99689303,新北市樹林區柑園街一段三四五號,33326978,121.39073,24.95631,中華民國59年08月23日 03:38:51
10,建興豆皮工廠,99615451,新北市鶯歌區黃厝街３１巷１７號,33230600,121.34359,24.94554,中華民國59年08月23日 03:38:51
11,永順豆皮工廠,99689798,新北市鶯歌區尖山路二０四號,33084901,121.3437,24.94711,中華民國59年08月23日 03:38:51
12,華泰行食品工廠,99606385,新北市新莊區新莊路六七、六九號,35913896,121.45755,25.03679,中華民國59年08月23日 03:38:51
13,翁裕美商行,99610825,新北市新莊區新莊路128號,35320057,121.45569,25.0359,中華民國59年08月23日 03:38:51
14,集發米廠,99690225,新北市金山區美田里中山路218號,37144900,121.63742,25.22196,中華民國59年08月23日 03:38:51
15,和利碾米工廠,99619195,新北市淡水區中正路一七０號,37065905,121.4405,25.1699,中華民國59年08月23日 03:38:51
16,桂冠實業股份有限公司中和一廠,99616659,新北市中和區中山路二段三二九號,18868215,121.49291,25.00221,中華民國59年08月23日 03:38:51
17,建豐實業股份有限公司二重工廠,99613703,新北市三重區光復路二段一四０號,15276906,121.47197,25.05959,中華民國59年08月23日 03:38:51
18,林源昌蔴油食品有限公司,99619056,新北市新店區永業路96號,30831740,121.53042,24.95071,中華民國59年08月23日 03:38:51
19,信成油廠股份有限公司板橋分廠,99617209,新北市板橋區觀光街五八號,11473808,121.47017,25.01665,中華民國59年08月23日 03:38:51
20,新合記實業有限公司,99610362,新北市新莊區幸福東路六０號,34014947,121.46491,25.0496,中華民國59年08月23日 03:38:51
21,傳貴豆皮工廠,99618617,新北市板橋區南雅南路一段四巷一六號,33666478,121.45464,25.00521,中華民國59年08月23日 03:38:51
22,樂口福食品股份有限公司深坑工廠,99600358,新北市深坑區文山路1段33號,19087104,121.62942,25.00351,中華民國59年08月23日 03:38:51
23,南亞茶業股份有限公司,99689894,新北市三芝區橫山路一三之一號,33759594,121.50095,25.25772,中華民國59年08月23日 03:38:51
24,天興豆腐店,99689352,新北市板橋區文化路一段四二一巷二七號,33033621,121.46605,25.02324,中華民國59年08月23日 03:38:51
25,鴻明冷凍食品股份有限公司,99690131,新北市瑞芳區大寮路八四號,4545428,121.78155,25.10019,中華民國59年08月23日 03:38:51
26,濟生股份有限公司,99612784,新北市新莊區福營路二二七巷二三號,4309819,121.43026,25.02946,中華民國59年08月23日 03:38:51
27,永利油廠有限公司,99610191,新北市新莊區化成路三八九巷六六號,35874319,121.46305,25.05809,中華民國59年08月23日 03:38:51
28,富記食品有限公司泰山廠,99615544,新北市泰山區貴和里貴陽街五號,4274706,121.42133,25.03347,中華民國59年08月23日 03:38:51
29,中立食品工業股份有限公司,99610549,新北市新莊區思源路九二號,27005133,121.46022,25.04573,中華民國59年08月23日 03:38:51
30,鮮太王食品工業股份有限公司,99603189,新北市土城區工業區大同街一五之一號,97198133,121.44281,24.97257,中華民國59年08月23日 03:38:51
31,振記冷藏股份有限公司,99605752,新北市新莊區中正路六一巷三號,35858269,121.4623,25.0393,中華民國59年08月23日 03:38:51
32,德合豆沙工廠,99617720,新北市中和區連城路二一六、二一八號,34157727,121.49146,24.9966,中華民國59年08月23日 03:38:51
33,三順冷凍有限公司,99606653,新北市板橋區干城路一五九號,27474851,121.46073,24.99217,中華民國59年08月23日 03:38:51
34,有豐食品股份有限公司淡水廠,99606991,新北市淡水區椿子林二０之一號,89590248,121.48194,25.20372,中華民國59年08月23日 03:38:51
35,樺興化學工業有限公司,99610519,新北市新莊區化成路389巷18號,35940916,121.46444,25.05839,中華民國59年08月23日 03:38:51
36,文興食品工業股份有限公司淡水廠,99690093,新北市淡水區坪頂里小平頂二三之一二號,31133342,121.47558,25.15634,中華民國59年08月23日 03:38:51
37,大醇食品股份有限公司,99600313,新北市淡水區行忠路328號,5078012,121.46086,25.19992,中華民國59年08月23日 03:38:51
38,代岱食品工廠,99609940,新北市板橋區中山路二段一四八巷三四號,33976733,121.47701,25.01609,中華民國59年08月23日 03:38:51
39,台研食品有限公司,99604829,新北市三重區中興北街一五０巷三一號,34095722,121.46769,25.05648,中華民國59年08月23日 03:38:51
40,寶龍食品廠有限公司,99610486,新北市樹林區三俊街一五九巷三五號,34463752,121.41913,25.01665,中華民國59年08月23日 03:38:51
41,台灣留蘭香股份有限公司大屯廠,99617087,新北市淡水區小坑子頭5之1號,4375248,121.48337,25.21274,中華民國59年08月23日 03:38:51
42,振源食品科技股份有限公司,99689272,新北市汐止區八連路一段七八巷一號,18852136,121.64345,25.08083,中華民國59年08月23日 03:38:51
43,昌桔食品有限公司土城廠,99600293,新北市土城區民權街14號,80537594,121.4158,24.9644,中華民國59年08月23日 03:38:51
44,高印昌股份有限公司,99614371,新北市樹林區三俊街九０巷六、八號,24259062,121.41422,25.01523,中華民國59年08月23日 03:38:51
45,東鈴冷凍股份有限公司二廠,99611707,新北市中和區中山路二段三八七號,34334097,121.48696,25.00455,中華民國59年08月23日 03:38:51
46,華昇食品工廠股份有限公司,99600865,新北市瑞芳區頂坪路一三五號,33853036,121.79301,25.10205,中華民國59年08月23日 03:38:51
47,欣和興食品股份有限公司,99608390,新北市樹林區佳園路一段90號,16247280,121.39339,24.96933,中華民國59年08月23日 03:38:51
48,寒山物產商業有限公司,99618736,新北市中和區安邦街一四號,34342809,121.49581,24.99821,中華民國59年08月23日 03:38:51
49,松記食品工業有限公司,99611202,新北市新莊區頭前路二巷七號,36031978,121.46834,25.05319,中華民國59年08月23日 03:38:51
50,中立食品工業股份有限公司新莊二廠,99610930,新北市新莊區思源路84巷5號,27005133,121.46074,25.04542,中華民國59年08月23日 03:38:51
51,臺灣威化企業有限公司,99601779,新北市新莊區頭前路一九號三樓,2082674,121.46801,25.05258,中華民國59年08月23日 03:38:51
52,佑福食品有限公司,99601668,新北市泰山區明志路三段四０七巷五號,86272368,121.42164,25.03389,中華民國59年08月23日 03:38:51
53,雙氏企業有限公司,99605164,新北市汐止區連興街一四八巷一號一樓,39611134,121.65392,25.06123,中華民國59年08月23日 03:38:51
54,立基食品股份有限公司瑞芳一廠,99602072,新北市瑞芳區頂坪路一二號,30888763,121.79122,25.09768,中華民國59年08月23日 03:38:51
55,頂昌企業有限公司,99607109,新北市土城區永豐路一九五巷二三號,23832998,121.47412,24.97958,中華民國59年08月23日 03:38:51
56,智慧餅店,99690087,新北市板橋區三民路二段二四五巷四弄一四號一樓,8542387,121.48055,25.01225,中華民國59年08月23日 03:38:51
57,口洛佳食品實業有限公司,99606737,新北市新店區安泰路六０巷九０弄七八號,86611732,121.48365,24.94465,中華民國59年08月23日 03:38:51
58,三豐食品工廠,99604702,新北市新莊區化成路一００之一號,1995321,121.46535,25.04413,中華民國59年08月23日 03:38:51
59,吉美食品廠,99607282,新北市板橋區觀光街六一號,34110272,121.47041,25.01643,中華民國59年08月23日 03:38:51
60,伍弘實業有限公司,99604376,新北市板橋區大觀路三段三六巷八九弄八號,34113502,121.434,24.99804,中華民國59年08月23日 03:38:51
61,金瑞珍糕餅店,99689933,新北市瑞芳區中正路八八號,33868657,121.80536,25.10776,中華民國59年08月23日 03:38:51
62,聯淳國際股份有限公司,99606854,新北市中和區中山路二段三八０巷三號,97014959,121.49098,25.00366,中華民國59年08月23日 03:38:51
63,上好食品廠有限公司,99619158,新北市汐止區大同路一段一四六巷一二號,23108926,121.63193,25.05479,中華民國59年08月23日 03:38:51
64,茄苳實業廠有限公司,99618202,新北市三重區自強路四段三一巷八號一樓,36363526,121.48947,25.07686,中華民國59年08月23日 03:38:51
